IHS_URL,IHS_UserAgent,IHS_ReferrerURL,count
/webapp/wcs/stores/servlet/seo/en/marksandspencer/carousel.html,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; Touch),EMPTY_REFERRER,9410
/webapp/wcs/stores/servlet/seo/en/marksandspencer/msstoredetailsview,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",EMPTY_REFERRER,1560
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.280 (Microsoft Lync 2010),EMPTY_REFERRER,1504
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.4500 (Microsoft Lync 2010),EMPTY_REFERRER,1221
/webapp/wcs/stores/servlet/seo/en/marksandspencer/c/&,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,EMPTY_REFERRER,1214
/88.0/res/loyalty/scripts/packages/page/buser/checkout/north-signup.package.js,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,EMPTY_REFERRER,836
/webapp/wcs/stores/servlet/cgi/json-req,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",EMPTY_REFERRER,682
/webapp/wcs/stores/servlet/seo/en/marksandspencer/common/assets/images/global/logo-icon.png,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,649
/webapp/wcs/stores/servlet/cgi/json-req,"Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",EMPTY_REFERRER,611
/css/web.css,null,EMPTY_REFERRER,582
/webapp/wcs/stores/servlet/seo/en/marksandspencer/rss,Go-http-client/1.1,EMPTY_REFERRER,520
/webapp/wcs/stores/servlet/seo/en/marksandspencer/feed,Go-http-client/1.1,EMPTY_REFERRER,520
/webapp/wcs/stores/servlet/seo/en/marksandspencer/atom,Go-http-client/1.1,EMPTY_REFERRER,520
/88.0/res/loyalty/scripts/packages/page/buser/checkout/north-signup.package.js,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13F69",EMPTY_REFERRER,463
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/christmas/gifts-for-her/gifts-for-your-grandma,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,319
/webapp/wcs/stores/servlet/en/marksandspencer/mod_pagespeed_beacon,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,299
/88.0/res/loyalty/scripts/packages/page/buser/checkout/north-signup.package.js,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,EMPTY_REFERRER,299
/webapp/wcs/stores/servlet/seo/en/marksandspencer/msstoredetailsview,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",\-,293
/webapp/wcs/stores/webapp/wcs/stores/servlet/CategoryDisplay,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,276
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/christmas/gifts-for-her/gifts-for-your-mum,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,274
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.4446 (Microsoft Lync 2010),EMPTY_REFERRER,262
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-validation-error-display.html,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,EMPTY_REFERRER,253
/webapp/wcs/stores/servlet/cgi/json-req,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,250
/webapp/wcs/stores/servlet/seo/en/marksandspencer/carousel.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,244
/webapp/wcs/stores/servlet/en/marksandspencer/,-,EMPTY_REFERRER,238
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/christmas/gifts-for-her/gifts-for-your-mum,AdsBot-Google (+http://www.google.com/adsbot.html),EMPTY_REFERRER,234
/webapp/wcs/stores/servlet/seo/en/marksandspencer/categorydisplay,Domain Re-Animator Bot (http://domainreanimator.com) - support@domainreanimator.com,EMPTY_REFERRER,223
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/christmas/gifts-for-her/gifts-for-your-grandma,AdsBot-Google (+http://www.google.com/adsbot.html),EMPTY_REFERRER,214
/,-,EMPTY_REFERRER,208
/webapp/wcs/stores/servlet/seo/en/marksandspencer/icon.gif,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,191
/webapp/wcs/stores/servlet/MSAutoSuggest,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",EMPTY_REFERRER,167
/,Mozilla/5.0 (Windows; U; Windows NT 5.1; zh-CN; rv:1.9b4) Gecko/2008030317 Firefox/3.0b4,EMPTY_REFERRER,164
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-validation-error-display.html,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,EMPTY_REFERRER,160
/webapp/wcs/stores/servlet/undefined,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,EMPTY_REFERRER,159
/webapp/wcs/stores/servlet/seo/en/marksandspencer/addRemovePromoDirective.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,150
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.4486 (Microsoft Lync 2010),EMPTY_REFERRER,150
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.4498 (Microsoft Lync 2010),EMPTY_REFERRER,149
/88.0/res/loyalty/scripts/packages/page/buser/checkout/north-signup.package.js,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,EMPTY_REFERRER,145
/webapp/wcs/stores/servlet/seo/en/marksandspencer/Shop/ks,Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/),\-,142
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-modal.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,138
/webapp/wcs/stores/servlet/seo/en/marksandspencer/null,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36",EMPTY_REFERRER,135
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/home-and-furniture/&,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,EMPTY_REFERRER,131
/webapp/wcs/stores/servlet/seo/en/marksandspencer/l/flowers-and-gifts/food-and-wine-gifts/&,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,EMPTY_REFERRER,130
/webapp/wcs/stores/webapp/wcs/stores/servlet/CategoryDisplay,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",EMPTY_REFERRER,124
/webapp/wcs/stores/servlet/seo/en/marksandspencer/s/kids/school-uniform/school-uniform-bts-dpsrtxl,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,122
/webapp/wcs/stores/servlet/seo/en/marksandspencer/l/women/shoes-and-boots/&,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,EMPTY_REFERRER,118
/webapp/wcs/stores/servlet/seo/en/marksandspencer/undefinedlang-mns.validate.js,"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",\https://www.marksandspencer.com/GenericApplicationError?&edcredirect,117
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-removed-product-notification-display.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,116
/webapp/wcs/stores/servlet/seo/en/marksandspencer/undefinedlang-mns.validate.js,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",\https://www.marksandspencer.com/GenericApplicationError?&edcredirect,115
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-sparks-promo-notification-display.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,115
/webapp/wcs/stores/servlet/seo/en/marksandspencer/mns-applied-promo-notification-display.html,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",EMPTY_REFERRER,115
/webapp/wcs/stores/servlet/autodiscover/autodiscover.xml,OC/4.0.7577.4461 (Microsoft Lync 2010),EMPTY_REFERRER,115
/webapp/wcs/stores/servlet/seo/en/marksandspencer/www.marksandspencer.fr/en_FR,Mozilla/4.0 (compatible; MSIE8.0; Windows NT 6.0) .NET CLR 2.0.50727),EMPTY_REFERRER,114
/webapp/wcs/stores/servlet/AjaxOrderItemAddCmd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/0.1.0 MCP/0.1.0",EMPTY_REFERRER,114
